ID;Motorway;SR;NR;TR;VR;SUR1;SUR2;SUR3;UR;FR;OR;RR;BR;MR;CR;Green Frogs;Brown Frogs;Common Toad;Fire-Bellied Toad;Tree Frog;Common Newt;Great Crested Newt
1;A1;82.12266582245866;1.0;1;4;6;2;10;0;0;50.0;0;0;0;;0;0;0;0;0;0;0
2;A1;-180534.4656684687;1.0;5;1;10;6;10;3;1;75.0;1;1;0;1;0;1;1;0;0;1;0
3;A1;1193.589181254818;1.0;5;1;;6;10;3;4;75.0;1;1;0;1;0;1;1;0;0;1;0
4;A1;629.8641463331805;1.0;5;0;6;10;2;3;4;25.0;0;0;0;1;0;0;1;0;0;0;0
5;A1;-180803.7988286653;2.0;1;4;;2;6;0;0;99.0;0;5;0;1;0;1;1;1;0;1;1
6;A1;1381.426177668538;1.0;5;1;6;6;10;;0;50.0;0;0;0;1;0;0;0;0;0;0;0
7;A1;243.68770686382595;1.0;5;0;;6;10;1;2;-33.680240536066535;;0;0;2;0;0;1;0;0;0;0
8;A1;1073.8333416745008;1.0;5;2;10;6;9;0;0;100.0;1;1;?;1;1;1;0;1;0;0;0
9;A1;110.25500511049904;2.0;5;1;;1;2;0;1;50.0;1;0;0;;0;1;1;0;0;0;0
10;A1;90.08816394024507;1.0;12;4;2;7;6;0;0;75.0;1;0;0;1;0;1;1;0;0;0;0
11;A1;-179609.94692502357;1.0;?;4;;7;1;;0;100.0;2;1;0;1;1;0;0;0;0;0;0
12;A1;164.44266289433835;1.0;14;2;1;2;7;0;0;100.0;2;1;0;1;0;1;1;0;0;0;0
13;A1;-2568.2963835568207;1.0;1;1;;6;10;3;3;-8.680240536066535;;5;0;1;1;0;1;0;0;0;0
14;A1;1533.612249873795;1.0;1;1;2;6;10;0;1;100.0;2;2;2;1;1;1;1;0;0;0;0
15;A1;7558.498907841835;1.0;1;3;;10;7;0;0;100.0;9;9;?;;0;1;1;0;0;0;0
16;A1;29349.254947623704;1.0;1;3;1;1;1;;?;100.0;2;10;0;1;1;1;1;1;1;0;0
17;A1;1463.2437337521042;1.0;12;4;;1;1;0;0;100.0;5;10;0;1;0;1;1;0;1;0;0
18;A1;809.3823235458276;-3.8909697972181174;15;1;1;1;9;0;0;75.0;0;5;0;1;0;1;1;0;0;0;0
19;A1;1455.5255156687817;3.0;1;0;;6;2;3;1;75.0;;1;0;1;1;1;1;1;0;0;0
20;A1;3309.3346380672374;6.0;1;2;6;6;2;3;1;89.45454545454545;0;0;0;1;1;0;1;0;1;0;0
21;A1;6858.172347750606;6.0;?;1;;10;2;;4;50.0;0;0;0;1;1;0;1;0;0;0;0
22;A1;1832.5183683051455;1.0;1;3;10;2;6;0;1;100.0;0;1;0;1;1;0;1;0;0;1;0
23;A1;1174.4024197400995;1.0;1;0;;2;7;3;4;100.0;2;1;0;1;0;1;1;0;0;0;0
24;A1;1541.310311298941;1.0;1;3;10;6;2;0;0;100.0;0;0;0;1;0;1;1;0;0;0;0
25;A1;-2568.2963835568207;1.0;1;2;;2;10;0;0;100.0;;5;2;1;1;0;0;0;0;1;0
26;A1;3707.887428677388;1.0;1;1;2;2;9;;2;100.0;9;9;0;;1;1;1;0;1;0;0
27;A1;-242.3942494107432;1.0;12;4;;2;1;0;0;100.0;5;9;0;1;0;1;0;0;0;0;0
28;A1;6685.094570634647;1.0;1;4;2;2;1;0;0;158.68024053606655;5;5;0;1;0;0;0;1;1;0;1
29;A1;30428.46743373511;1.0;1;3;;2;1;1;0;100.0;5;5;?;1;1;1;1;0;0;1;1
30;A1;7322.199857693663;1.0;1;3;2;2;7;0;0;100.0;0;1;0;;0;1;1;0;1;0;0
31;A1;4435.306336687265;1.0;?;3;;1;7;;?;100.0;;5;0;1;0;1;0;0;1;0;0
32;A1;3071.2700531736573;1.0;1;3;2;9;2;0;0;50.0;0;1;0;1;0;0;0;0;1;0;0
33;A1;757.7494665683116;1.0;1;0;;10;6;3;4;100.0;2;1;0;1;1;1;0;0;0;0;0
34;A1;592.2902711162224;2.0;1;2;2;10;10;0;0;100.0;1;5;0;1;0;1;0;0;0;0;0
35;A1;640.6682280384048;1.0;1;1;;10;10;0;0;100.0;2;2;0;1;0;1;1;0;0;0;0
36;A1;-203.21855884758224;1.0;1;0;2;6;10;;4;100.0;2;2;0;1;0;1;1;0;0;0;0
37;A1;-2568.2963835568207;1.0;1;2;;10;6;0;0;100.0;;1;0;1;0;0;0;1;0;0;0
38;A1;499.22786548678596;1.0;5;1;6;2;10;1;0;75.0;2;0;0;;0;0;1;0;1;0;1
39;A1;735.8122726714682;1.0;1;2;;6;10;0;0;89.45454545454545;1;1;0;1;0;1;0;0;0;0;0
40;A1;-625.5457055139796;1.0;5;1;7;2;6;3;0;158.68024053606655;2;1;0;1;1;0;0;0;0;0;0
41;A1;80176.53899861888;1.0;?;4;;2;7;;0;100.0;5;5;0;1;1;0;0;1;1;0;0
42;A1;338.135282842426;1.0;12;4;2;2;7;0;0;100.0;5;5;0;1;0;0;1;1;1;0;0
43;A1;-486.39966775542234;1.0;11;4;;6;7;0;0;100.0;;5;?;1;0;0;1;0;1;0;0
44;A1;3460.35924417573;1.0;1;3;7;2;9;0;0;75.0;0;2;0;1;0;1;0;0;0;0;0
45;A1;29402.92675965188;6.0;1;0;;7;6;3;4;100.0;5;5;0;1;1;1;1;0;0;0;0
46;A1;-179285.33052729067;1.0;12;4;2;7;2;;?;100.0;5;5;0;1;1;1;1;1;1;0;0
47;A1;26495.669153742463;5.0;1;0;;9;7;3;4;75.0;0;0;0;1;1;0;0;1;0;0;0
48;A1;41911.93880158974;1.0;1;1;2;2;6;3;2;100.0;5;0;0;;1;1;0;1;0;1;0
49;A1;-2568.2963835568207;7.0;12;4;;6;7;0;0;100.0;;5;0;1;1;1;0;0;1;1;0
50;A1;-179660.83614048603;-3.8909697972181174;1;2;2;7;6;0;0;75.0;0;1;0;1;0;1;1;0;0;1;0
51;A1;4978.039356234309;1.0;?;3;;2;2;;0;100.0;5;5;?;1;1;1;1;0;1;0;1
52;A1;-175576.4442228342;1.0;1;3;1;1;2;0;0;100.0;5;5;0;1;1;1;1;0;0;0;0
53;A1;1555.7124521966543;1.0;1;4;;2;6;0;0;99.0;2;2;0;1;0;1;0;0;0;0;0
54;A1;1486.5883105297798;1.0;1;2;1;7;6;0;0;100.0;0;1;?;1;0;1;0;0;0;1;0
55;A1;-162.42157883976506;1.0;1;1;;2;1;0;0;100.0;;5;0;;1;1;1;1;1;1;0
56;A1;1880.4019089300164;6.890969797218117;2;2;7;2;6;;2;100.0;5;0;0;1;0;1;1;0;0;0;0
